lumber,treatment,stock_length_ft,qty,notes
1x10,PRIMED,12,1,finish; Hingham Lumber
1x10,PRIMED,16,2,finish; Hingham Lumber
1x4,KD,8,1,finish; Hingham Lumber
1x4,KD,14,5,finish; Hingham Lumber
1x6,KD,14,15,finish; Hingham Lumber
1x6,PRIMED,8,3,finish; Hingham Lumber
1x6,PRIMED,12,6,finish; Hingham Lumber
1x6,PRIMED,14,3,finish; Hingham Lumber
1x8,PRIMED,14,1,finish; Hingham Lumber
1x8,PRIMED,16,37,finish; Hingham Lumber
"strap hinge 12"" black",—,ea,8,"finish hardware; 2 per leaf, 4 leaves"
gate latch + hasp black,—,ea,3,finish hardware; 1 per opening (double: center latch)
